parent_name,child_name,parent_smiles,child_smiles
bromocriptine,,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,CC(C)CC1C(=O)N2C(O)CCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12
bropirimine,m-hydroxybropirimine,N=c1nc(O)c(Br)c(-c2ccccc2)[nH]1,N=c1nc(O)c(Br)c(-c2cccc(O)c2)[nH]1
brotizolam,alpha-OH-BRT,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,OCc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
caffeine,Paraxanthine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(O)nc2ncn(C)c2c1=O
carbamazepine," Carbamazepine 10,11-epoxide ",NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2ccccc2C2OC2c2ccccc21
carbaryl,4-hydroxycarbaryl,CNC(=O)Oc1cccc2ccccc12,CNC(=O)Oc1cccc2c(O)cccc12
Carbofuran,e-hydroxy-carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,CNC(=O)Oc1cccc2c1OC(C)(C)C2O
celecoxib,Hydroxy celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(CO)cc2)cc1
cerivastatin,,COCc1c(C(C)C)nc(C(C)C)c(C=CC(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1,CC(C)c1nc(C(C)C)c(CO)c(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O
cevimeline,,CC1OC2(CS1)CN1CCC2CC1,CC1OC2(CN3CCC2CC3)C[S+]1[O-]
(R)-colchicine,3-demethylcolchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,COc1c(O)cc2c(c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
{4-[5-(4-Fluoro-phenyl)-2-methylsulfanyl-3H-imidazol-4-yl]-pyridin-2-yl}-(1-phenyl-ethyl)-amine,,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1,CC(Nc1cc(-c2[nH]c(S(C)(=O)=O)nc2-c2ccc(F)cc2)ccn1)c1ccccc1
reduced_haloperidol,CPHP,OC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,OC1(c2ccc(Cl)cc2)CCNCC1
DRF_4367,,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(O)cc2)cc1CO
benzodioxolyl-butanamine (BDB),DHABB,CCC(N)Cc1ccc2c(c1)OCO2,CCC(N)Cc1ccc(O)c(O)c1
itraconazole,Hydroxy-iteraconazole,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,CC(O)C(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O
Mequitazine,,c1ccc2c(c1)Sc1ccccc1N2CC12CCN(CC1)CC2,Oc1ccc2c(c1)Sc1ccccc1N2CC12CCN(CC1)CC2
NE-100,,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1,CCCN(CCC)CCc1ccc(OC)c(OCCc2cccc(O)c2)c1
(R)-m-Methoxyamphetamine,,COc1cccc(CC(C)N)c1,CC(N)Cc1cccc(O)c1
(R)-phenprocoumon,,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CCC(c1ccc(O)cc1)c1c(O)c2ccccc2oc1=O
pantoprazole,,COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,COc1c(OCO)ccnc1C[S+]([O-])c1nc2ccc(OC(F)F)cc2[nH]1
"2Ã¢â‚¬Â[(S)Ã¢â‚¬Â[4Ã¢â‚¬Â(cyclopropylmethoxy)pyridinÃ¢â‚¬Â2Ã¢â‚¬Âyl]methanesulfinyl]Ã¢â‚¬Â5Ã¢â‚¬ÂfluoroÃ¢â‚¬Â1HÃ¢â‚¬Â1,3Ã¢â‚¬Âbenzodiazole",Sulphone,[O-][S+](Cc1cc(OCC2CC2)ccn1)c1nc2ccc(F)cc2[nH]1,O=S(=O)(Cc1cc(OCC2CC2)ccn1)c1nc2ccc(F)cc2[nH]1
"(2S,3R)-3-(4-Hydroxy-phenyl)-2-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-2,3-dihydro-benzo[1,4]oxathiin-6-ol",,Oc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,[O-][S+]1c2cc(O)ccc2OC(c2ccc(OCCN3CCCCC3)cc2)C1c1ccc(O)cc1
PNU-96391,,CCCN1CCCC(c2cccc(S(C)(=O)=O)c2)C1,CS(=O)(=O)c1cccc(C2CCCNC2)c1
4Ã¢â‚¬Â[(dimethylamino)methyl]Ã¢â‚¬Â7Ã¢â‚¬ÂmethoxychromenÃ¢â‚¬Â2Ã¢â‚¬Âone,,COc1ccc2c(CN(C)C)cc(=O)oc2c1,CNCc1cc(=O)oc2cc(OC)ccc12
bpr-0L075,,COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c[nH]c2c1,COc1cc(C(=O)c2c[nH]c3cc(O)ccc23)cc(O)c1OC
KR-33028,5-hydroxy-KR-33028,N#Cc1cccc2sc(C(=O)NC(=N)N)cc12,N#Cc1c(O)ccc2sc(C(=O)NC(=N)N)cc12
CTK0G1203,,CC(NC(=NC#N)N=c1cc[nH]cc1)C(C)(C)C,CC(NC(=NC#N)Nc1cc[n+]([O-])cc1)C(C)(C)C
N-(1-Phenyl-1H-pyrazole-5-yl)-p-toluenesulfonamide,,Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccc(CO)cc1
2prime_hydroxy_indomethacin_phenethylamide,,COc1ccc2c(c1)c(CC(=O)NCC(O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,Cc1c(CC(=O)NCC(O)c2ccccc2)c2cc(O)ccc2n1C(=O)c1ccc(Cl)cc1
"(2S)-1-(1,3-Benzodioxol-5-yl)-N-methyl-2-butanamine",,CCC(Cc1ccc2c(c1)OCO2)NC,CCC(N)Cc1ccc2c(c1)OCO2
Seratrodast,5-OH-seratrodast,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,CC1=C(CO)C(=O)C(C)=C(C(CCCCCC(=O)O)c2ccccc2)C1=O
chlorpromazine,7-Hydroxychlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21
chlorpropamide,2-OH-chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1O
Chlorpyrifos,"3,5,6-Trichloro-2-pyridinol",CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Oc1nc(Cl)c(Cl)cc1Cl
chlorzoxazone,6-Hydroxychlorzoxazone,Oc1nc2cc(Cl)ccc2o1,Oc1nc2cc(Cl)c(O)cc2o1
cilostazol,OPC-13326,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,OC1=Nc2ccc(OCCCCc3nnnn3C3CCCCC3)cc2C(O)C1
cinnarizine,4-{phenyl[4-(3-phenylprop-2-en-1-yl)piperazin-1-yl]methyl}phenol,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,Oc1ccc(C(c2ccccc2)N2CCN(CC=Cc3ccccc3)CC2)cc1
"(2R,3S)â€2â€(diphenylmethyl)â€Nâ€{[2â€methoxyâ€5â€(propâ€1â€enâ€2â€yl)phenyl]methyl}â€1â€azabicyclo[2.2.2]octanâ€3â€amine","CP-611,781",C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1,COc1ccc(C(C)CO)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1
clarithromycin,14-(R)-hydroxy-CLAR,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,COC1(C)CC(OC2C(C)C(=O)OC(C(C)O)C(C)(O)C(O)C(C)C(=O)C(C)CC(C)(OC)C(OC3OC(C)CC(N(C)C)C3O)C2C)OC(C)C1O
clindamycin,N-desmethyclindamycin,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,CCCC1CNC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)C1
clobazam,N-desmethylclobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,O=C1CC(O)=Nc2ccc(Cl)cc2N1c1ccccc1
clomethiazole,NLA-715,Cc1ncsc1CCCl,Cc1ncsc1C(O)CCl
clomipramine,2-OH-clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2cc(O)c(Cl)cc21
clotiazepam,Hydroxy-clotiazepam,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CC(O)c1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
clozapine,N-Desmethylclozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2
codeine,morphine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
cotinine,trans-3'-hydroxycotinine,CN1C(=O)CCC1c1cccnc1,CN1C(=O)C(O)CC1c1cccnc1
coumarin,7-Hydroxycoumarin,O=c1ccc2ccccc2o1,O=c1ccc2ccc(O)cc2o1
cp_122_721,,COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1
cp_125_611,"CP-919,230",Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,NCc1cc(OC(F)(F)F)ccc1O
cp-199331,,COc1ccc(NS(=O)(=O)C(F)(F)F)cc1CC1COc2ccc(OCc3nc4cc(F)c(F)cc4s3)cc2C1O,O=S(=O)(Nc1ccc(O)c(CC2COc3ccc(OCc4nc5cc(F)c(F)cc5s4)cc3C2O)c1)C(F)(F)F
curcumin,O-demethyl curcumin,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(O)c2)ccc1O
cyclobenzaprine,N-Desmethylcyclobenzaprine,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,CNCCC=C1c2ccccc2C=Cc2ccccc21
"cyclohexene, 4-ethenyl-, (s)-",,C=CC1CC=CCC1,C1=CCC(C2CO2)CC1
dacarbazine,MTIC,CN(C)NN=C1N=CN=C1C(N)=O,CNNN=C1N=CN=C1C(N)=O
debrisoquine,4-Hydroxydebrisoquine,N=C(N)N1CCc2ccccc2C1,N=C(N)N1Cc2ccccc2C(O)C1
decursinol angelate,,CC=C(C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C,CC1OC1(C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C
delavirdine,,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,CC(C)Nc1ccc(O)nc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
deoxypodophyllotoxin,,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC,COc1cc(C2c3cc(O)c(O)cc3CC3COC(=O)C32)cc(OC)c1OC
deramciclane,,CN(C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,CNCCOC1(c2ccccc2)CC2CCC1(C)C2(C)C
desmethylcitalopram,"N,N-Didesmethylcitalopram",CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1
desogestrel,3-alpha-OH-desogestrel,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC
dexfenfluramine,nordexfenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,CC(N)Cc1cccc(C(F)(F)F)c1
dexpropranolol (propranolol),,CC(C)NCC(O)COc1cccc2ccccc12,NCC(O)COc1cccc2ccccc12
dextromethorphan,Dextrorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,CN1CCC23CCCCC2C1Cc1ccc(O)cc13
dextropropoxyphene,Nordextropropoxyphene,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CNC
diallyl disulfide,DADSO,C=CCSSCC=C,C=CCS[S+]([O-])CC=C
diazepam,Nordiazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1
"dibenzo[a,l]pyrene",,c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,c1ccc2c(c1)c1cccc3ccc4cc5c(ccc6oc65)c2c4c31
dibenzylfluorescein,Fluorescein benzyl ester,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12
dihydrocodeine,,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5
diphenhydramine,N-Desmethyldiphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,CNCCOC(c1ccccc1)c1ccccc1
disopiramide,mono-N-desalkyldisopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,CC(C)NCCC(C(N)=O)(c1ccccc1)c1ccccn1
domitroban,,O=C(O)CCCC=CCC1C2CCC(C2)C1NS(=O)(=O)c1ccccc1,O=C(O)CCCC=CCC1C2CC(CC2O)C1NS(=O)(=O)c1ccccc1
domperidone,,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,Oc1ccc2c(c1)nc(O)n2CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1
doxepin,nordoxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21,CNCCC=C1c2ccccc2COc2ccccc21
ebastine,Deslakylebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,CC(C)(C)c1ccc(C(=O)CCC=O)cc1
ecabapide,6-hydroxy-ecabapide,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,CNC(=O)c1cc(NCC(=O)NCCc2ccc(OC)c(OC)c2)ccc1O
efavirenz,8-OH-efavirenz,OC1=Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,OC1=Nc2c(O)cc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1
eicosapentaenoic acid,,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,CCC=CCC=CCC=CCCCCC=CCCCC(=O)O
eletriptan,N-Desmethyleletriptan,CN1CCCC1CC1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,O=S(=O)(CCc1ccc2c(c1)C(CC1CCCN1)CN2)c1ccccc1
eplerenone,6beta-hydroxyeplerenone,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,COC(=O)C1C(O)C2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13
erythromycin,N-Desmethylerythromycin,CCC1OCC(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CC(C)C(O)C1(C)O,CCC1OCC(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(O)CC(C)CC(C)C(O)C1(C)O
esomeprazole,5-Hydroxyomeprazole ,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,COc1ccc2nc([S+]([O-])Cc3ncc(CO)c(OC)c3C)[nH]c2c1
estazolam,4-hydroxyestazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,OC1N=C(c2ccccc2)c2cc(Cl)ccc2-n2cnnc21
estradiol,2-Hydroxyestradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O
estrone,2-OH-estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O
ethiprole,Ethiprole Sulfone,CC[S+]([O-])c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,CCS(=O)(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N
ethylmorphine,Norethylmorphine,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341
etizolam,,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,CCc1cc2c(s1)-n1c(C)nnc1C(O)N=C2c1ccccc1Cl
etoperidone,,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,CCCn1nc(CC)n(CC)c1=O
etoposide,Etoposide Catechol,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O
eugenol,Hydroxychavicol,C=CCc1ccc(O)c(OC)c1,C=CCc1ccc(O)c(O)c1
eupatilin,Jaceosidine,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)ccc1O
ezlopitant,,COc1ccc(C(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1
fentanyl,Norfentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CCC(=O)N(c1ccccc1)C1CCNCC1
finasteride,,CC(C)(C)NC(=O)C1CCC2C3CCC4N=C(O)C=CC4(C)C3CCC12C,CC(C)(CO)NC(=O)C1CCC2C3CCC4N=C(O)C=CC4(C)C3CCC12C
flosequinan,flosequinan sulfone,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21,Cn1cc(S(C)(=O)=O)c(=O)c2ccc(F)cc21
flucloxacillin,,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,CC1(C)SC2C(NC(=O)c3c(-c4c(F)cccc4Cl)noc3CO)C(=O)N2C1C(=O)O
flunarizine,1Ã¢â‚¬Â[bis(4Ã¢â‚¬Âfluorophenyl)methyl]piperazine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,Fc1ccc(C(c2ccc(F)cc2)N2CCNCC2)cc1
fluphenazine,10-{3-[4-(2-hydroxyethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-5ÃŽÂ»Ã¢ÂÂ´-phenothiazin-5-one,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,[O-][S+]1c2ccccc2N(CCCN2CCN(CCO)CC2)c2cc(C(F)(F)F)ccc21
fluvastatin,6-OH-fluvastatin,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccc(O)cc21
fluvoxamine,Fluvoxamino alcohol,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,NCCON=C(CCCCO)c1ccc(C(F)(F)F)cc1
formononetin,Daidzein,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
furafylline,"3-[(furan-2-yl)methyl]-8-hydroxy-1-methyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione   ",Cc1nc2c(=O)n(C)c(=O)n(Cc3ccco3)c2[nH]1,Cn1c(=O)c2nc(CO)[nH]c2n(Cc2ccco2)c1=O
gefitinib,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
genistein,Orobol,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12
gepirone,,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1O
granisetron,7-Hydroxygranisetron,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CN1C2CCCC1CC(NC(=O)c1nn(C)c3cccc(O)c13)C2
gts-21,4-OH-GTS-21,COc1ccc(C=C2CCCN=C2c2cccnc2)c(OC)c1,COc1cc(O)ccc1C=C1CCCN=C1c1cccnc1
haloperidol,p-Fluorobenzoylpropionic acid and 4-(4-chlorophenyl)-4-hydroxypiperidine,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,O=C(O)CCC(=O)c1ccc(F)cc1
harmaline,Harmalol,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,CC1=NCCc2c1[nH]c1cc(O)ccc21
harmine,Harmol,COc1ccc2c(c1)[nH]c1c(C)nccc12,COc1cc2[nH]c3c(C)nccc3c2cc1O
hexamethylphosphoramide,,CN(C)P(=O)(N(C)C)N(C)C,CNP(=O)(N(C)C)N(C)C
hydrocodone,Hydromorphone,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5
ibrolipim,,CCOP(=O)(Cc1ccc(C(=O)Nc2ccc(Br)cc2C#N)cc1)OCC,CCOP(=O)(O)Cc1ccc(C(=O)Nc2ccc(Br)cc2C#N)cc1
iloperidone,"4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]propoxy]-3-methoxy-a-methylbenzene methanol",COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,COc1cc(C(C)O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
imidacloprid,5-hydroxy-imidacloprid,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,O=[N+]([O-])NC1=NCC(O)N1Cc1ccc(Cl)nc1
imipramine,2-Hydroxyimipramine ,CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21
indinavir,,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,CC(C)(C)NC(=O)C1CN(Cc2ccc[n+]([O-])c2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O
indiplon,N-Desmethylindiplon,CC(=O)N(C)c1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1,CC(=O)Nc1cccc(-c2ccnc3c(C(=O)c4cccs4)cnn23)c1
indole,,c1ccc2[nH]ccc2c1,Oc1c[nH]c2ccccc12
indomethacin,O-Desmethylindomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Cc1c(CC(=O)O)c2cc(O)ccc2n1C(=O)c1ccc(Cl)cc1
"invega, invega sustenna, 9-hydroxyrisperidone, paliperidone",,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2O
ipriflavone,,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,O=c1c(-c2ccccc2)coc2cc(O)ccc12
irbesartan,"2-(3-hydroxybutyl)-3-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1,3-diazaspiro[4.4]non-1-en-4-one",CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CC(O)CCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
irinotecan,7-ethyl-10-[4-N-(5-aminopentanoic acid)-1-piperidino] carbonyloxycamptothecin,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,CCc1c2c(nc3ccc(OC(=O)N4CCC(NCCCCC(=O)O)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
isoquinoline,isoquinoline N-oxide,c1ccc2cnccc2c1,[O-][n+]1ccc2ccccc2c1
isotretinoin,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC(O)=C(C)C=CC1=C(C)CCCC1(C)C)=CC(=O)O
isoursodeoxycholic acid,,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CCC12C
k-11777,N-oxide k-11777,CN1CCN(C(=O)NC(Cc2ccccc2)C(=O)NC(C=CS(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,C[N+]1([O-])CCN(C(=O)NC(Cc2ccccc2)C(=O)NC(C=CS(=O)(=O)c2ccccc2)CCc2ccccc2)CC1
kaempferide,4'-OH-galangin,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
ketobemidone,Norketobemidone,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,CCC(=O)C1(c2cccc(O)c2)CCNCC1
kr-60436,O-demethyl-KR-60436,COc1ccc(N2CCc3c2c2cccc(OC(F)(F)F)c2[nH]c3=NCCO)c(C)c1,Cc1cc(O)ccc1N1CCc2c1c1cccc(OC(F)(F)F)c1[nH]c2=NCCO
